fid,transcript,cleaned_transcript,timestamp,text_language,social_media_channel,hashtags,mentions,emojis,cluster_id,is_representative,repetition_count,counterfeit_risk,has_ccr_risk,risk_level,risk_type,reasoning,keywords,result_propagated,relevant,confidence,processing_time
n1872a7,"â€‰ Hi, pro here. The ingredients are not the same. If you put a bit of store bought shampoo in your palm can you turn it upside down? It boils down to the ph balance on what makes hair products professional or not truly. I am not personally a fan of sulfate free products. I like the active cleaning agents/bubbles. However; I will say Pantene is the worst for your hair. It has wax in it. You can literally wax your floors with it. Long term use causes a waxy build up that I've personally cut off of peoples hair shaft. It's awful and can cause much bigger issues. I can wash someone's hair and tell if they use it (often). K18 and Olaplex can be good. However, too much protein can cause breakage and frizz, you don't need it that often unless it's very damaged. Using professional products correctly is the key. Some people aren't educated in the type of hair they have and actual products or frequency of use. I should also mention, there's a lot of fakes and expired products sold with really good packaging. Unless it's sold in a professional salon (not Amazon or a grocery store) there isn't a guarantee you're actually getting the correct product. Just a food for thought from someone who's been in the industry over 20 years. Best wishes.","Hi, pro here. The ingredients are not the same. If you put a bit of store bought shampoo in your palm can you turn it upside down? It boils down to the ph balance on what makes hair products professional or not truly. I am not personally a fan of sulfate free products. I like the active cleaning agents/bubbles. However; I will say Pantene is the worst for your hair. It has wax in it. You can literally wax your floors with it. Long term use causes a waxy build up that I've personally cut off of peoples hair shaft. It's awful and can cause much bigger issues. I can wash someone's hair and tell if they use it (often). K18 and Olaplex can be good. However, too much protein can cause breakage and frizz, you don't need it that often unless it's very damaged. Using professional products correctly is the key. Some people aren't educated in the type of hair they have and actual products or frequency of use. I should also mention, there's a lot of fakes and expired products sold with really good packaging. Unless it's sold in a professional salon (not Amazon or a grocery store) there isn't a guarantee you're actually getting the correct product. Just a food for thought from someone who's been in the industry over 20 years. Best wishes.",2025-07-04 00:54:12,en,REDDIT,,,,,False,1,True,True,Medium,Suspicious_source,"The comment explicitly warns about fake and expired products with good packaging, specifically noting risks when purchasing outside professional salons, including Amazon and grocery stores.","['""lot of fakes and expired products""']",False,,,
1941532740756640115,"â€‰ ğŸŒŸ AMAZON--07ğŸ”¥Pantene PRO-V Miracles Creme de Pentear Antiqueda & NutriÃ§Ã£o Biotinamina B3 para cabelos com queda 240g - #MercadoLivre-3.1 ğŸ˜± Por R$ 8,99 ğŸ›’ COMPRE AQUI ğŸ‘‰ğŸ½ https://t.co/mHXXtxOfNP https://t.co/CiLDbX4pGX","AMAZON--07Pantene PRO-V Miracles Creme de Pentear Antiqueda & NutriÃ§Ã£o Biotinamina B3 para cabelos com queda 240g - -3.1 Por R$ 8,99 COMPRE AQUI",2025-07-05 16:20:51,pt,TWITTER,MercadoLivre,,ğŸ˜±ğŸ”¥ğŸ‘‰ğŸ½ğŸŒŸğŸ›’,cluster_3,True,12,True,True,Low,Suspicious_source,"The comment contains multiple red flags typical of potentially counterfeit product listings:
- Uses multiple emoji and hashtags to attract attention
- References multiple platforms (Amazon, MercadoLiv","['""COMPRE AQUI"" (Buy Here)']",False,,,
1941532740404322382,"â€‰ ğŸŒŸ AMAZON--07ğŸ”¥Pantene PRO-V Miracles Creme de Pentear Antiqueda & NutriÃ§Ã£o Biotinamina B3 para cabelos com queda 240g - #MercadoLivre-3.1 ğŸ˜± Por R$ 8,99 ğŸ›’ COMPRE AQUI ğŸ‘‰ğŸ½ https://t.co/hecIXciN8l https://t.co/ze07zY7J2Q","AMAZON--07Pantene PRO-V Miracles Creme de Pentear Antiqueda & NutriÃ§Ã£o Biotinamina B3 para cabelos com queda 240g - -3.1 Por R$ 8,99 COMPRE AQUI",2025-07-05 16:20:51,pt,TWITTER,MercadoLivre,,ğŸ˜±ğŸ”¥ğŸ‘‰ğŸ½ğŸŒŸğŸ›’,cluster_3,False,12,True,True,Low,Suspicious_source,"The comment contains multiple red flags typical of potentially counterfeit product listings:
- Uses multiple emoji and hashtags to attract attention
- References multiple platforms (Amazon, MercadoLiv","['""COMPRE AQUI"" (Buy Here)']",True,True,Medium,2.0046157836914062
1941532742342042107,"â€‰ ğŸŒŸ AMAZON--07ğŸ”¥Pantene PRO-V Miracles Creme de Pentear Antiqueda & NutriÃ§Ã£o Biotinamina B3 para cabelos com queda 240g - #MercadoLivre-3.1 ğŸ˜± Por R$ 8,99 ğŸ›’ COMPRE AQUI ğŸ‘‰ğŸ½ https://t.co/mHXXtxOfNP https://t.co/Bb3nSfx5x9","AMAZON--07Pantene PRO-V Miracles Creme de Pentear Antiqueda & NutriÃ§Ã£o Biotinamina B3 para cabelos com queda 240g - -3.1 Por R$ 8,99 COMPRE AQUI",2025-07-05 16:20:52,pt,TWITTER,MercadoLivre,,ğŸ˜±ğŸ”¥ğŸ‘‰ğŸ½ğŸŒŸğŸ›’,cluster_3,False,12,True,True,Low,Suspicious_source,"The comment contains multiple red flags typical of potentially counterfeit product listings:
- Uses multiple emoji and hashtags to attract attention
- References multiple platforms (Amazon, MercadoLiv","['""COMPRE AQUI"" (Buy Here)']",True,True,Medium,2.0046157836914062
1941533239665098994,"â€‰ ğŸ’„ Amazon â€” Creme para Pentear Pantene Pro-V Miracles Queratina Preenche & Blinda 240 g ğŸ’¸ DE R$ 17,31  ğŸ’ POR R$ 9,00 ğŸ’– 48% de desconto! ğŸ”— https://t.co/QSrH49RHTH https://t.co/f7Zw5dC8fU","Amazon â€” Creme para Pentear Pantene Pro-V Miracles Queratina Preenche & Blinda 240 g DE R$ 17,31 POR R$ 9,00 48% de desconto!",2025-07-05 16:22:50,es,TWITTER,,,ğŸ”—ğŸ’¸ğŸ’ğŸ’„ğŸ’–,,False,1,True,True,High,Amazon_fake_concern,"While the comment appears to be a legitimate product listing with a significant discount on Amazon, several elements suggest potential counterfeit risk:
- Substantial price reduction (48% off)
- Short","['""DE R$ 17', '31""']",False,,,
1941533251337617423,"â€‰ ğŸŒŸ AMAZON--07ğŸ”¥Pantene PRO-V Miracles Creme de Pentear Antiqueda & NutriÃ§Ã£o Biotinamina B3 para cabelos com queda 240g - #MercadoLivre-3.1 ğŸ˜± Por R$ 8,99 ğŸ›’ COMPRE AQUI ğŸ‘‰ğŸ½ https://t.co/mHXXtxOfNP https://t.co/NHXlvH5pKe","AMAZON--07Pantene PRO-V Miracles Creme de Pentear Antiqueda & NutriÃ§Ã£o Biotinamina B3 para cabelos com queda 240g - -3.1 Por R$ 8,99 COMPRE AQUI",2025-07-05 16:22:53,pt,TWITTER,MercadoLivre,,ğŸ˜±ğŸ”¥ğŸ‘‰ğŸ½ğŸŒŸğŸ›’,cluster_3,False,12,True,True,Low,Suspicious_source,"The comment contains multiple red flags typical of potentially counterfeit product listings:
- Uses multiple emoji and hashtags to attract attention
- References multiple platforms (Amazon, MercadoLiv","['""COMPRE AQUI"" (Buy Here)']",True,True,Medium,2.0046157836914062
1941533498210234432,"â€‰ ğŸŒŸ AMAZON--07ğŸ”¥Pantene PRO-V Miracles Creme de Pentear Antiqueda & NutriÃ§Ã£o Biotinamina B3 para cabelos com queda 240g - #MercadoLivre-3.1 ğŸ˜± Por R$ 8,99 ğŸ›’ COMPRE AQUI ğŸ‘‰ğŸ½ https://t.co/mHXXtxOfNP https://t.co/fXtA46S10e","AMAZON--07Pantene PRO-V Miracles Creme de Pentear Antiqueda & NutriÃ§Ã£o Biotinamina B3 para cabelos com queda 240g - -3.1 Por R$ 8,99 COMPRE AQUI",2025-07-05 16:23:52,pt,TWITTER,MercadoLivre,,ğŸ˜±ğŸ”¥ğŸ‘‰ğŸ½ğŸŒŸğŸ›’,cluster_3,False,12,True,True,Low,Suspicious_source,"The comment contains multiple red flags typical of potentially counterfeit product listings:
- Uses multiple emoji and hashtags to attract attention
- References multiple platforms (Amazon, MercadoLiv","['""COMPRE AQUI"" (Buy Here)']",True,True,Medium,2.0046157836914062
1941533506103857554,"â€‰ ğŸŒŸ AMAZON--07ğŸ”¥Pantene PRO-V Miracles Creme de Pentear Antiqueda & NutriÃ§Ã£o Biotinamina B3 para cabelos com queda 240g - #MercadoLivre-3.1 ğŸ˜± Por R$ 8,99 ğŸ›’ COMPRE AQUI ğŸ‘‰ğŸ½ https://t.co/hecIXciN8l https://t.co/8nmMrktUoF","AMAZON--07Pantene PRO-V Miracles Creme de Pentear Antiqueda & NutriÃ§Ã£o Biotinamina B3 para cabelos com queda 240g - -3.1 Por R$ 8,99 COMPRE AQUI",2025-07-05 16:23:54,pt,TWITTER,MercadoLivre,,ğŸ˜±ğŸ”¥ğŸ‘‰ğŸ½ğŸŒŸğŸ›’,cluster_3,False,12,True,True,Low,Suspicious_source,"The comment contains multiple red flags typical of potentially counterfeit product listings:
- Uses multiple emoji and hashtags to attract attention
- References multiple platforms (Amazon, MercadoLiv","['""COMPRE AQUI"" (Buy Here)']",True,True,Medium,2.0046157836914062
1941534263314178209,"â€‰ ğŸŒŸ AMAZON--07ğŸ”¥Pantene PRO-V Miracles Creme de Pentear Antiqueda & NutriÃ§Ã£o Biotinamina B3 para cabelos com queda 240g - #MercadoLivre-3.1 ğŸ˜± Por R$ 8,99 ğŸ›’ COMPRE AQUI ğŸ‘‰ğŸ½ https://t.co/hecIXciN8l https://t.co/cZ4eCYkPuA","AMAZON--07Pantene PRO-V Miracles Creme de Pentear Antiqueda & NutriÃ§Ã£o Biotinamina B3 para cabelos com queda 240g - -3.1 Por R$ 8,99 COMPRE AQUI",2025-07-05 16:26:54,pt,TWITTER,MercadoLivre,,ğŸ˜±ğŸ”¥ğŸ‘‰ğŸ½ğŸŒŸğŸ›’,cluster_3,False,12,True,True,Low,Suspicious_source,"The comment contains multiple red flags typical of potentially counterfeit product listings:
- Uses multiple emoji and hashtags to attract attention
- References multiple platforms (Amazon, MercadoLiv","['""COMPRE AQUI"" (Buy Here)']",True,True,Medium,2.0046157836914062
1941534263158915223,"â€‰ ğŸŒŸ AMAZON--07ğŸ”¥Pantene PRO-V Miracles Creme de Pentear Antiqueda & NutriÃ§Ã£o Biotinamina B3 para cabelos com queda 240g - #MercadoLivre-3.1 ğŸ˜± Por R$ 8,99 ğŸ›’ COMPRE AQUI ğŸ‘‰ğŸ½ https://t.co/mHXXtxOfNP https://t.co/rc4LKb1g0G","AMAZON--07Pantene PRO-V Miracles Creme de Pentear Antiqueda & NutriÃ§Ã£o Biotinamina B3 para cabelos com queda 240g - -3.1 Por R$ 8,99 COMPRE AQUI",2025-07-05 16:26:54,pt,TWITTER,MercadoLivre,,ğŸ˜±ğŸ”¥ğŸ‘‰ğŸ½ğŸŒŸğŸ›’,cluster_3,False,12,True,True,Low,Suspicious_source,"The comment contains multiple red flags typical of potentially counterfeit product listings:
- Uses multiple emoji and hashtags to attract attention
- References multiple platforms (Amazon, MercadoLiv","['""COMPRE AQUI"" (Buy Here)']",True,True,Medium,2.0046157836914062
1941534263129575497,"â€‰ ğŸŒŸ AMAZON--07ğŸ”¥Pantene PRO-V Miracles Creme de Pentear Antiqueda & NutriÃ§Ã£o Biotinamina B3 para cabelos com queda 240g - #MercadoLivre-3.1 ğŸ˜± Por R$ 8,99 ğŸ›’ COMPRE AQUI ğŸ‘‰ğŸ½ https://t.co/mHXXtxOfNP https://t.co/lfdwEGt7fG","AMAZON--07Pantene PRO-V Miracles Creme de Pentear Antiqueda & NutriÃ§Ã£o Biotinamina B3 para cabelos com queda 240g - -3.1 Por R$ 8,99 COMPRE AQUI",2025-07-05 16:26:54,pt,TWITTER,MercadoLivre,,ğŸ˜±ğŸ”¥ğŸ‘‰ğŸ½ğŸŒŸğŸ›’,cluster_3,False,12,True,True,Low,Suspicious_source,"The comment contains multiple red flags typical of potentially counterfeit product listings:
- Uses multiple emoji and hashtags to attract attention
- References multiple platforms (Amazon, MercadoLiv","['""COMPRE AQUI"" (Buy Here)']",True,True,Medium,2.0046157836914062
1941544466562662626,"â€‰ ğŸŒŸ AMAZON--07ğŸ”¥Pantene PRO-V Miracles Creme de Pentear Antiqueda & NutriÃ§Ã£o Biotinamina B3 para cabelos com queda 240g - #MercadoLivre-3.1 ğŸ˜± Por R$ 8,99 ğŸ›’ COMPRE AQUI ğŸ‘‰ğŸ½ https://t.co/mHXXtxOfNP https://t.co/dYVI9WqaeQ","AMAZON--07Pantene PRO-V Miracles Creme de Pentear Antiqueda & NutriÃ§Ã£o Biotinamina B3 para cabelos com queda 240g - -3.1 Por R$ 8,99 COMPRE AQUI",2025-07-05 17:07:27,pt,TWITTER,MercadoLivre,,ğŸ˜±ğŸ”¥ğŸ‘‰ğŸ½ğŸŒŸğŸ›’,cluster_3,False,12,True,True,Low,Suspicious_source,"The comment contains multiple red flags typical of potentially counterfeit product listings:
- Uses multiple emoji and hashtags to attract attention
- References multiple platforms (Amazon, MercadoLiv","['""COMPRE AQUI"" (Buy Here)']",True,True,Medium,2.0046157836914062
1941544556350128153,"â€‰ ğŸŒŸ AMAZON--07ğŸ”¥Pantene PRO-V Miracles Creme de Pentear Antiqueda & NutriÃ§Ã£o Biotinamina B3 para cabelos com queda 240g - #MercadoLivre-3.1 ğŸ˜± Por R$ 8,99 ğŸ›’ COMPRE AQUI ğŸ‘‰ğŸ½ https://t.co/hecIXciN8l https://t.co/bmgMRAVcpf","AMAZON--07Pantene PRO-V Miracles Creme de Pentear Antiqueda & NutriÃ§Ã£o Biotinamina B3 para cabelos com queda 240g - -3.1 Por R$ 8,99 COMPRE AQUI",2025-07-05 17:07:49,pt,TWITTER,MercadoLivre,,ğŸ˜±ğŸ”¥ğŸ‘‰ğŸ½ğŸŒŸğŸ›’,cluster_3,False,12,True,True,Low,Suspicious_source,"The comment contains multiple red flags typical of potentially counterfeit product listings:
- Uses multiple emoji and hashtags to attract attention
- References multiple platforms (Amazon, MercadoLiv","['""COMPRE AQUI"" (Buy Here)']",True,True,Medium,2.0046157836914062
1941544557117645106,"â€‰ ğŸŒŸ AMAZON--07ğŸ”¥Pantene PRO-V Miracles Creme de Pentear Antiqueda & NutriÃ§Ã£o Biotinamina B3 para cabelos com queda 240g - #MercadoLivre-3.1 ğŸ˜± Por R$ 8,99 ğŸ›’ COMPRE AQUI ğŸ‘‰ğŸ½ https://t.co/mHXXtxOfNP https://t.co/YsauCqvleb","AMAZON--07Pantene PRO-V Miracles Creme de Pentear Antiqueda & NutriÃ§Ã£o Biotinamina B3 para cabelos com queda 240g - -3.1 Por R$ 8,99 COMPRE AQUI",2025-07-05 17:07:49,pt,TWITTER,MercadoLivre,,ğŸ˜±ğŸ”¥ğŸ‘‰ğŸ½ğŸŒŸğŸ›’,cluster_3,False,12,True,True,Low,Suspicious_source,"The comment contains multiple red flags typical of potentially counterfeit product listings:
- Uses multiple emoji and hashtags to attract attention
- References multiple platforms (Amazon, MercadoLiv","['""COMPRE AQUI"" (Buy Here)']",True,True,Medium,2.0046157836914062
